origin,modern
"He was disposed to mirth, but on the sudden A Roman thought hath struck him.—Enobarbus!","He was in a good mood, and then suddenly he started thinking of Rome."
Madam?,Madam?
Here at your service.,"Here, at your service."
My lord approaches.,Here comes my lord.
Fulvia thy wife first came into the field.,"Your wife, Fulvia, mustered her army first."
Against my brother Lucius?,Against my brother Lucius?
Ay.,Yes.
"Do not say so, my lord.","Don’t say that, my lord."
Where is he now?,Where do you think he is now?
"My lord, in Athens.","He’s in Athens, my lord."
"No, my most wrongèd sister.","No, he’s not."
Cleopatra Hath nodded him to her.,Cleopatra summoned him.
He hath given his empire Up to a whore; who now are levying The kings o’ th’ earth for war.,"He’s given his empire to a whore, and now they’re gathering kings to wage a war."
"He hath assembled Bocchus, the King of Libya; Archelaus, Of Cappadocia; Philadelphos, King Of Paphlagonia; the Thracian king, Adallas; King Manchus of Arabia; King of Pont; Herod of Jewry; Mithridates, King Of Comagen; Polemon and Amyntas, The Kings of Mede and Lycaonia, With a more larger list of scepters.","He’s recruited Bocchus, the King of Libya; Archelaus of Cappadocia; Philadelphos, King of Paphlagonia; the Thracian king, Adallas; King Manchus of Arabia; the King of Pont; Herod, of Judea; Mithridates, King of Comagen; Polemon and Amyntas, the kings of Mede and Lycaonia, and many more."
"Ay me, most wretched, That have my heart parted betwixt two friends That does afflict each other!",I’m divided between two friends who are determined to kill each other.
Welcome hither.,You’re welcome here.
Your letters did withhold our breaking forth Till we perceived both how you were wrong led And we in negligent danger.,I didn’t write about breaking the alliance with Antony until I saw you were being misled and realized how dangerous it would be to keep postponing preparations.
Cheer your heart.,Cheer yourself.
"Best of comfort, And ever welcome to us.",You will always be welcome to me. 
"Welcome, lady.","Welcome, lady."
"Welcome, dear madam.","Welcome, dear madam."
Each heart in Rome does love and pity you.,Every heart in Rome loves and pities you.
"Only th’ adulterous Antony, most large In his abominations, turns you off And gives his potent regiment to a trull That noises it against us.","Only the adulterous and abominable Antony abandons you, giving his power to a whore who turns that power against us."
Most certain.,It’s undeniable.
"Sister, welcome.","You are welcome here, sister."
Pray you Be ever known to patience.,I beg you to continue to be patient.
My dear’st sister!,My dearest sister!
"But why, why, why?","But why, why, why?"
Thou hast forspoke my being in these wars And sayst it is not fit.,You opposed my taking part in the war.
Is ’t not denounced against us?,Isn’t this war against me?
Why should not we Be there in person?,Why shouldn’t I be there in person?
What is ’t you say?,What do you mean?
Sink Rome!,Let Rome fall!
And their tongues rot That speak against us!,May the tongues of our critics rot!
"A charge we bear i’ th’ war, And as the president of my kingdom will Appear there for a man.","I have responsibilities in this war, and as the absolute ruler of my kingdom I will carry out my duties as if I were a man."
Speak not against it.,Don’t argue against it.
I will not stay behind.,I won’t stay behind.
"Nay, I have done.","No, I’ve had my say."
Here comes the Emperor.,Here comes the Emperor.
"Is it not strange, Canidius, That from Tarentum and Brundusium He could so quickly cut the Ionian sea And take in Toryne?—You have heard on ’t, sweet?","Isn’t it strange, Canidius, that he could cross the Ionian Sea so quickly from Tarentum and Brundusium and take Toryne?—Have you heard about this, sweet?"
Celerity is never more admired Than by the negligent.,No one admires speed more than the lazy.
"By sea, what else?",What else?
Why will My lord do so?,"Why do you want to do that, my lord?"
For that he dares us to ’t.,Because he’s daring us to do it.
So hath my lord dared him to single fight.,So you’ve dared him to single combat.
"Ay, and to wage this battle at Pharsalia, Where Caesar fought with Pompey.","Yes, and you dared Caesar to fight the battle at Pharsalia, where he fought against Pompey."
"But these offers, Which serve not for his vantage, he shakes off, And so should you.","But Caesar ignores offers that don’t give him an advantage, and so should you."
In Caesar’s fleet Are those that often have ’gainst Pompey fought.,His ships are maneuverable.
"Their ships are yare, yours, heavy.",Yours are slow and awkward.
"No disgrace Shall fall you for refusing him at sea, Being prepared for land.",Refusing to fight him at sea won’t disgrace you.
I’ll fight at sea.,I’ll fight at sea.
"But if we fail, We then can do ’t at land.","Even if we fail at that, we can still fight him on land."
Thy business?,What’s your business?
"The news is true, my lord.","The news is true, my lord."
He is descried.,He has captured Toryne.
"Canidius, Our nineteen legions thou shalt hold by land, And our twelve thousand horse.","Canidius, take our nineteen "
"How now, worthy soldier?","What’s the news, brave soldier?"
"O noble Emperor, do not fight by sea!","Oh, don’t fight by sea, noble Emperor!"
Trust not to rotten planks.,Don’t trust rotten planks.
Do you misdoubt This sword and these my wounds?,Don’t you trust my sword and these wounds?
Let th’ Egyptians And the Phoenicians go a-ducking.,Let the Egyptians and Phoenicians go swimming.
We Have used to conquer standing on the earth And fighting foot to foot.,We are used to winning by standing on the earth and fighting toe to toe.
"Well, well, away.","Well, well, let’s go."
"By Hercules, I think I am i’ th’ right.","By Hercules, I think I’m right."
"Soldier, thou art; but his whole action grows Not in the power on ’t.","Soldier, you are."
"So our leader’s led, And we are women’s men.",Our leader is being led.
"You keep by land The legions and the horse whole, do you not?","On land you keep the legions and cavalry together, don’t you?"
"Marcus Octavius, Marcus Justeius, Publicola, and Caelius, are for sea; But we keep whole by land.","Marcus Octavius, Marcus Justeius, Publicola, and Caelius will go by sea, but we’ll keep the bulk on land."
This speed of Caesar’s Carries beyond belief.,Caesar’s speed defies belief.
While he was yet in Rome His power went out in such distractions as Beguiled all spies.,"While he was still in Rome, he deployed his forces in so many different disguises that all our spies were fooled."
"Who’s his lieutenant, hear you?","Who’s his lieutenant, do you know?"
"They say, one Taurus.","A man named Taurus, they say."
Well I know the man.,I know the man well.
The Emperor calls Canidius.,The Emperor is calling for Canidius.
"With news the time’s with labor, and throws forth Each minute some.","The present time is like a woman in labor, each minute giving birth to some piece of news."
Taurus!,Taurus!
My lord?,My lord?
Strike not by land; keep whole.,Don’t attack by land.
Provoke not battle Till we have done at sea.,Don’t provoke them to battle until we have finished at sea.
Our fortune lies Upon this jump.,Our fate depends on this chance.
"Set we our squadrons on yond side o’ th’ hill, In eye of Caesar’s battle, from which place We may the number of the ships behold And so proceed accordingly.","Assemble our squadrons on the other side of the hill, in sight of Caesar’s navy."
I can behold no longer.,I can’t watch any more.
"Gods and goddesses, All the whole synod of them!","The Egyptian flagship, the  Gods and goddesses—the whole congregation of them!"
